Ref,Val,Package,PosX,PosY,Rot,Side
R7,47R,R_0603_1608Metric,123.750000,-94.800000,0.000000,bottom
R8,47R,R_0603_1608Metric,129.350000,-79.400000,0.000000,bottom
RN1,47R,R_Array_Concave_4x0603,123.800000,-91.750000,180.000000,bottom
RN2,47R,R_Array_Concave_4x0603,114.400000,-111.000000,180.000000,bottom
RN3,47R,R_Array_Concave_4x0603,123.800000,-87.350000,180.000000,bottom
RN4,47R,R_Array_Concave_4x0603,136.950000,-76.600000,90.000000,bottom
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.900000,-80.600000,90.000000,top
C2,15pF,C_0603_1608Metric,110.925000,-92.400000,180.000000,top
C3,15pF,C_0603_1608Metric,107.775000,-92.400000,0.000000,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.200000,-111.000000,180.000000,top
C5,10uF,C_1206_3216Metric,123.300000,-80.375000,-90.000000,top
C7,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,113.900000,-106.100000,-90.000000,top
D1,VS 3JD8,LED_0605,141.112500,-66.500000,180.000000,top
F1,0.5A,Fuse_1206_3216Metric,123.250000,-75.350000,-90.000000,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,107.580000,-72.450000,90.000000,top
J2,ICSP,PinHeader_2x03_P2.54mm_Vertical,108.010000,-101.370000,0.000000,top
J3,KUSBX-SMT-CS-6-BTR,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,122.800000,-67.425000,180.000000,top
Q1,BSS138,SOT-23,131.500000,-66.437500,0.000000,top
Q2,BSS138,SOT-23,131.437500,-70.000000,0.000000,top
R1,150R,R_0603_1608Metric,137.000000,-65.500000,180.000000,top
R2,1k,R_0603_1608Metric,113.800000,-67.550000,180.000000,top
R3,1M,R_0603_1608Metric,110.875000,-98.550000,0.000000,top
R4,1M,R_0603_1608Metric,110.875000,-96.950000,0.000000,top
R5,1M,R_0603_1608Metric,110.875000,-95.350000,0.000000,top
R6,470R,R_0603_1608Metric,137.000000,-67.500000,0.000000,top
R9,5.1k,R_0603_1608Metric,126.275000,-75.450000,0.000000,top
R10,5.1k,R_0603_1608Metric,126.300000,-73.800000,0.000000,top
SW1,SW_DIP_x03,DIP-6_W7.62mm,117.920000,-108.600000,90.000000,top
SW2,SW_Push,TLZWLA_Button,108.950000,-58.750000,0.000000,top
U1,ATmega328-P,TQFP-32_7x7mm_P0.8mm,114.800000,-80.150000,0.000000,top
U2,RAM / ZIF,DIP-20_W7.62mm_LongPads,133.200000,-82.875000,0.000000,top
U3,ZIP Socket,ZIP-20,120.165000,-110.905000,0.000000,top
Y1,16MHZ,Crystal_SMD_5032-2Pin_5.0x3.2mm,109.682500,-89.700000,180.000000,top
